State,Group,Year,Rate
Warrap,Children,2020,32
Warrap,Children,2021,34
Warrap,Children,2022,33
Warrap,Children,2023,35
Warrap,Adolescents,2020,18
Warrap,Adolescents,2021,19
Warrap,Adolescents,2022,20
Warrap,Adolescents,2023,21
Warrap,Adults,2020,14
Warrap,Adults,2021,15
Warrap,Adults,2022,16
Warrap,Adults,2023,17

Northern Bahr el Ghazal,Children,2020,30
Northern Bahr el Ghazal,Children,2021,31
Northern Bahr el Ghazal,Children,2022,33
Northern Bahr el Ghazal,Children,2023,34
Northern Bahr el Ghazal,Adolescents,2020,17
Northern Bahr el Ghazal,Adolescents,2021,18
Northern Bahr el Ghazal,Adolescents,2022,19
Northern Bahr el Ghazal,Adolescents,2023,20
Northern Bahr el Ghazal,Adults,2020,13
Northern Bahr el Ghazal,Adults,2021,14
Northern Bahr el Ghazal,Adults,2022,15
Northern Bahr el Ghazal,Adults,2023,16

Western Bahr el Ghazal,Children,2020,28
Western Bahr el Ghazal,Children,2021,29
Western Bahr el Ghazal,Children,2022,31
Western Bahr el Ghazal,Children,2023,32
Western Bahr el Ghazal,Adolescents,2020,16
Western Bahr el Ghazal,Adolescents,2021,17
Western Bahr el Ghazal,Adolescents,2022,18
Western Bahr el Ghazal,Adolescents,2023,19
Western Bahr el Ghazal,Adults,2020,12
Western Bahr el Ghazal,Adults,2021,13
Western Bahr el Ghazal,Adults,2022,14
Western Bahr el Ghazal,Adults,2023,15

Lakes,Children,2020,33
Lakes,Children,2021,34
Lakes,Children,2022,35
Lakes,Children,2023,36
Lakes,Adolescents,2020,19
Lakes,Adolescents,2021,20
Lakes,Adolescents,2022,21
Lakes,Adolescents,2023,22
Lakes,Adults,2020,14
Lakes,Adults,2021,15
Lakes,Adults,2022,16
Lakes,Adults,2023,17

Western Equatoria,Children,2020,26
Western Equatoria,Children,2021,27
Western Equatoria,Children,2022,28
Western Equatoria,Children,2023,29
Western Equatoria,Adolescents,2020,14
Western Equatoria,Adolescents,2021,15
Western Equatoria,Adolescents,2022,16
Western Equatoria,Adolescents,2023,17
Western Equatoria,Adults,2020,10
Western Equatoria,Adults,2021,11
Western Equatoria,Adults,2022,12
